Type of Transaction,Sender ID,Receiver ID,Amount of Money Transferred,Date,Is Fraud,Type of Fraud,Day of the Week
cash-in,37177,63029,3621.64,4/15/2019 12:00,1,type1,Monday
cash-in,37177,80337,3621.64,3/15/2019 13:43,1,type1,Friday
cash-in,37177,14656,3621.64,5/26/2019 13:50,1,type1,Sunday
cash-in,37177,89730,3621.64,7/11/2019 9:22,1,type1,Thursday
cash-in,37177,93055,3621.64,4/20/2019 13:19,1,type1,Saturday
cash-in,37177,68699,3621.64,3/15/2019 12:50,1,type1,Friday
cash-in,37177,68229,3621.64,4/12/2019 14:04,1,type1,Friday
cash-in,37177,13407,3621.64,5/6/2019 10:43,1,type1,Monday
cash-in,37177,887,3621.64,6/22/2019 15:41,1,type1,Saturday
cash-in,37177,48011,3621.64,5/21/2019 10:25,1,type1,Tuesday
cash-in,37177,3092,3621.64,4/11/2019 13:18,1,type1,Thursday
cash-in,37177,57772,3621.64,3/3/2019 12:57,1,type1,Sunday
cash-in,37177,31269,3621.64,7/5/2019 11:30,1,type1,Friday
cash-in,37177,69355,3621.64,6/13/2019 12:34,1,type1,Thursday
cash-in,37177,9363,3621.64,3/2/2019 10:13,1,type1,Saturday
cash-in,37177,30714,3621.64,7/6/2019 10:29,1,type1,Saturday
cash-in,37177,39631,3621.64,2/23/2019 9:54,1,type1,Saturday
cash-in,37177,33994,3621.64,7/10/2019 15:04,1,type1,Wednesday
cash-in,37177,96016,3621.64,3/17/2019 11:53,1,type1,Sunday
cash-in,37177,67648,3621.64,3/30/2019 13:38,1,type1,Saturday
cash-in,31439,89434,5543.45,6/11/2019 11:22,1,type1,Tuesday
cash-in,31439,90146,5543.45,4/28/2019 8:03,1,type1,Sunday
cash-in,31439,8611,5543.45,4/3/2019 9:39,1,type1,Wednesday
cash-in,31439,3183,5543.45,5/22/2019 8:33,1,type1,Wednesday
cash-in,31439,18533,5543.45,7/3/2019 13:00,1,type1,Wednesday
cash-in,31439,6470,5543.45,4/30/2019 13:51,1,type1,Tuesday
cash-in,31439,27405,5543.45,7/1/2019 14:49,1,type1,Monday
cash-in,31439,97140,5543.45,5/2/2019 10:37,1,type1,Thursday
cash-in,31439,58911,5543.46,5/7/2019 15:56,1,type1,Tuesday
cash-in,31439,20213,5543.46,5/24/2019 13:06,1,type1,Friday
cash-in,31439,17450,5543.46,4/14/2019 13:51,1,type1,Sunday
cash-in,31439,63072,5543.46,2/28/2019 15:48,1,type1,Thursday
cash-in,31439,84089,5543.46,4/19/2019 12:58,1,type1,Friday
cash-in,31439,42081,5543.46,2/27/2019 13:07,1,type1,Wednesday
cash-in,84352,79147,6400.46,6/13/2019 9:54,1,type1,Thursday
cash-in,84352,80053,6400.46,2/21/2019 8:30,1,type1,Thursday
cash-in,84352,61309,6400.47,4/19/2019 10:45,1,type1,Friday
cash-in,84352,54502,6400.47,6/5/2019 10:09,1,type1,Wednesday
cash-in,84352,94793,6400.47,6/19/2019 9:11,1,type1,Wednesday
cash-in,84352,24728,6400.47,3/13/2019 9:45,1,type1,Wednesday
cash-in,84352,36919,6400.47,6/28/2019 9:20,1,type1,Friday
cash-in,84352,46738,6400.47,6/14/2019 9:13,1,type1,Friday
cash-in,84352,62404,6400.47,4/8/2019 15:36,1,type1,Monday
cash-in,84352,49860,6400.47,7/15/2019 15:00,1,type1,Monday
cash-in,84352,9117,6400.47,6/6/2019 8:18,1,type1,Thursday
cash-in,95615,43405,7088.94,4/29/2019 8:54,1,type1,Monday
cash-in,95615,97885,7088.94,3/6/2019 10:57,1,type1,Wednesday
cash-in,95615,15768,7088.94,5/29/2019 14:24,1,type1,Wednesday
cash-in,95615,13218,7088.94,3/10/2019 12:09,1,type1,Sunday
cash-in,95615,93239,7088.94,5/30/2019 13:15,1,type1,Thursday
cash-in,95615,20217,7088.95,3/16/2019 15:01,1,type1,Saturday
cash-in,95615,13591,7088.95,6/28/2019 14:12,1,type1,Friday
cash-in,95615,65665,7088.95,2/21/2019 13:04,1,type1,Thursday
cash-in,95615,27376,7088.95,3/23/2019 13:58,1,type1,Saturday
cash-in,95615,1638,7088.95,4/26/2019 11:53,1,type1,Friday
cash-in,95615,35853,7088.95,6/10/2019 13:31,1,type1,Monday
cash-in,95615,70742,7088.95,3/19/2019 11:54,1,type1,Tuesday
cash-in,41220,39061,17693.55,6/24/2019 14:07,1,type1,Monday
cash-in,41220,48727,17693.55,4/22/2019 13:08,1,type1,Monday
cash-in,41220,21809,17693.55,4/3/2019 14:12,1,type1,Wednesday
cash-in,41220,26639,17693.56,6/3/2019 10:35,1,type1,Monday
cash-in,39284,62427,2741.71,6/8/2019 8:35,1,type1,Saturday
cash-in,39284,87467,2741.71,3/22/2019 12:24,1,type1,Friday
cash-in,39284,53948,2741.71,5/20/2019 10:31,1,type1,Monday
cash-in,39284,5032,2741.71,6/10/2019 8:50,1,type1,Monday
cash-in,39284,68774,2741.71,6/11/2019 9:39,1,type1,Tuesday
cash-in,39284,40321,2741.71,3/25/2019 11:15,1,type1,Monday
cash-in,39284,95596,2741.71,6/17/2019 8:56,1,type1,Monday
cash-in,39284,2955,2741.71,6/24/2019 12:30,1,type1,Monday
cash-in,39284,91794,2741.71,7/9/2019 8:05,1,type1,Tuesday
cash-in,39284,45479,2741.71,6/25/2019 9:17,1,type1,Tuesday
cash-in,39284,63272,2741.71,3/9/2019 15:45,1,type1,Saturday
cash-in,39284,67144,2741.71,7/4/2019 9:31,1,type1,Thursday
cash-in,39284,7228,2741.71,5/6/2019 12:59,1,type1,Monday
cash-in,39284,47704,2741.71,6/23/2019 15:43,1,type1,Sunday
cash-in,39284,74691,2741.71,6/18/2019 10:32,1,type1,Tuesday
cash-in,39284,4429,2741.71,7/3/2019 14:11,1,type1,Wednesday
cash-in,39284,13670,2741.71,7/1/2019 11:54,1,type1,Monday
cash-in,39284,85867,2741.71,7/12/2019 14:38,1,type1,Friday
cash-in,39284,18192,2741.71,6/7/2019 11:16,1,type1,Friday
cash-in,39284,28414,2741.71,7/19/2019 10:59,1,type1,Friday
cash-in,39284,55092,2741.71,3/22/2019 11:36,1,type1,Friday
cash-in,39284,4394,2741.71,3/30/2019 8:16,1,type1,Saturday
cash-in,39284,74901,2741.71,6/23/2019 11:35,1,type1,Sunday
cash-in,39284,2683,2741.71,6/28/2019 12:27,1,type1,Friday
cash-in,39284,87826,2741.71,2/21/2019 11:08,1,type1,Thursday
cash-in,39284,13963,2741.71,3/6/2019 15:23,1,type1,Wednesday
cash-in,39284,29925,2741.71,7/10/2019 10:07,1,type1,Wednesday
cash-in,39284,61097,2741.72,3/4/2019 12:59,1,type1,Monday
cash-in,39284,13638,2741.72,6/1/2019 12:21,1,type1,Saturday
cash-in,82688,77924,2920.38,5/31/2019 11:17,1,type1,Friday
cash-in,82688,91706,2920.38,2/27/2019 14:21,1,type1,Wednesday
cash-in,82688,87880,2920.38,3/31/2019 13:40,1,type1,Sunday
cash-in,82688,18305,2920.38,5/31/2019 11:10,1,type1,Friday
cash-in,82688,74062,2920.38,5/5/2019 8:47,1,type1,Sunday
cash-in,82688,83006,2920.38,5/23/2019 9:58,1,type1,Thursday
cash-in,82688,39778,2920.38,5/30/2019 14:01,1,type1,Thursday
cash-in,82688,32368,2920.38,4/20/2019 11:43,1,type1,Saturday
cash-in,82688,12943,2920.38,3/12/2019 11:23,1,type1,Tuesday
cash-in,82688,67262,2920.38,4/13/2019 9:31,1,type1,Saturday
cash-in,82688,48186,2920.38,6/5/2019 13:29,1,type1,Wednesday
cash-in,82688,6015,2920.38,6/30/2019 14:10,1,type1,Sunday
cash-in,82688,34921,2920.38,4/11/2019 12:49,1,type1,Thursday
cash-in,82688,28976,2920.38,4/29/2019 8:30,1,type1,Monday
cash-in,82688,16779,2920.38,6/9/2019 11:07,1,type1,Sunday
cash-in,82688,88240,2920.38,2/28/2019 9:05,1,type1,Thursday
cash-in,82688,4870,2920.38,4/9/2019 15:22,1,type1,Tuesday
cash-in,82688,32981,2920.38,7/14/2019 14:36,1,type1,Sunday
cash-in,82688,75676,2920.38,3/29/2019 8:30,1,type1,Friday
cash-in,82688,69388,2920.38,4/8/2019 12:36,1,type1,Monday
cash-in,82688,97318,2920.38,4/11/2019 11:33,1,type1,Thursday
cash-in,82688,42411,2920.39,4/4/2019 10:15,1,type1,Thursday
cash-in,82688,13222,2920.39,6/8/2019 8:56,1,type1,Saturday
cash-in,82688,99496,2920.39,4/30/2019 14:52,1,type1,Tuesday
cash-in,82688,1932,2920.39,3/25/2019 13:28,1,type1,Monday
cash-in,30965,80135,3983.94,3/27/2019 11:40,1,type1,Wednesday
cash-in,30965,88488,3983.94,6/6/2019 9:03,1,type1,Thursday
cash-in,30965,57075,3983.94,6/15/2019 11:46,1,type1,Saturday
cash-in,30965,40167,3983.94,3/26/2019 11:36,1,type1,Tuesday
cash-in,30965,24981,3983.94,2/24/2019 13:54,1,type1,Sunday
cash-in,30965,57149,3983.94,6/1/2019 10:16,1,type1,Saturday
cash-in,30965,14030,3983.94,5/28/2019 14:26,1,type1,Tuesday
cash-in,30965,45553,3983.94,6/18/2019 11:01,1,type1,Tuesday
cash-in,30965,80750,3983.94,5/9/2019 11:35,1,type1,Thursday
cash-in,30965,49600,3983.94,5/26/2019 12:00,1,type1,Sunday
cash-in,30965,93262,3983.94,4/6/2019 11:52,1,type1,Saturday
cash-in,30965,25307,3983.94,4/14/2019 12:31,1,type1,Sunday
cash-in,30965,63112,3983.94,4/23/2019 12:41,1,type1,Tuesday
cash-in,30965,14080,3983.94,4/19/2019 13:14,1,type1,Friday
cash-in,30965,95733,3983.94,6/2/2019 12:03,1,type1,Sunday
cash-in,30965,63228,3983.94,5/1/2019 14:14,1,type1,Wednesday
cash-in,30965,4845,3983.94,7/7/2019 8:14,1,type1,Sunday
cash-in,30965,45785,3983.95,7/2/2019 9:50,1,type1,Tuesday
cash-in,30965,74470,3983.95,7/5/2019 10:15,1,type1,Friday
cash-in,30965,32822,3983.95,6/20/2019 13:29,1,type1,Thursday
cash-in,30965,23309,3983.95,3/10/2019 15:42,1,type1,Sunday
cash-in,72032,68884,3918.66,6/16/2019 13:47,1,type1,Sunday
cash-in,72032,35234,3918.66,4/30/2019 10:05,1,type1,Tuesday
cash-in,72032,44712,3918.66,5/1/2019 8:56,1,type1,Wednesday
cash-in,72032,21863,3918.67,6/12/2019 14:25,1,type1,Wednesday
cash-in,72032,30284,3918.67,4/14/2019 12:17,1,type1,Sunday
cash-in,72032,68776,3918.67,4/20/2019 10:38,1,type1,Saturday
cash-in,72032,77528,3918.67,6/19/2019 15:56,1,type1,Wednesday
cash-in,72032,13268,3918.67,7/20/2019 13:12,1,type1,Saturday
cash-in,72032,12595,3918.67,4/7/2019 11:56,1,type1,Sunday
cash-in,72032,27847,3918.67,6/11/2019 9:38,1,type1,Tuesday
cash-in,72032,15477,3918.67,3/23/2019 10:22,1,type1,Saturday
cash-in,72032,57885,3918.67,2/23/2019 9:56,1,type1,Saturday
cash-in,72032,76683,3918.67,2/24/2019 10:40,1,type1,Sunday
cash-in,72032,45427,3918.67,3/5/2019 13:32,1,type1,Tuesday
cash-in,72032,92818,3918.67,2/22/2019 11:21,1,type1,Friday
cash-in,72032,49478,3918.67,6/13/2019 14:46,1,type1,Thursday
cash-in,72032,67354,3918.67,5/13/2019 15:16,1,type1,Monday
cash-in,72032,44038,3918.67,3/20/2019 8:23,1,type1,Wednesday
cash-in,72032,31247,3918.67,5/18/2019 15:35,1,type1,Saturday
cash-in,72032,82095,3918.67,6/25/2019 10:49,1,type1,Tuesday
cash-in,72032,63396,3918.67,5/8/2019 9:22,1,type1,Wednesday
cash-in,24041,96977,3224.13,3/3/2019 12:37,1,type1,Sunday
cash-in,24041,33426,3224.13,4/2/2019 8:53,1,type1,Tuesday
cash-in,24041,46541,3224.13,7/10/2019 13:44,1,type1,Wednesday
cash-in,24041,23893,3224.13,4/28/2019 13:26,1,type1,Sunday
cash-in,24041,86853,3224.13,4/5/2019 12:11,1,type1,Friday
cash-in,24041,45493,3224.13,2/25/2019 8:14,1,type1,Monday
cash-in,24041,33601,3224.13,3/9/2019 11:02,1,type1,Saturday
cash-in,24041,16524,3224.13,4/30/2019 8:56,1,type1,Tuesday
cash-in,24041,56913,3224.13,4/21/2019 8:02,1,type1,Sunday
cash-in,24041,36891,3224.13,4/4/2019 10:36,1,type1,Thursday
cash-in,24041,18626,3224.13,6/16/2019 12:39,1,type1,Sunday
cash-in,24041,1666,3224.13,4/18/2019 9:55,1,type1,Thursday
cash-in,24041,34756,3224.13,6/25/2019 11:31,1,type1,Tuesday
cash-in,24041,66669,3224.13,3/30/2019 10:14,1,type1,Saturday
cash-in,24041,55422,3224.13,7/13/2019 8:32,1,type1,Saturday
cash-in,24041,39060,3224.13,2/26/2019 14:51,1,type1,Tuesday
cash-in,24041,88176,3224.13,6/6/2019 10:39,1,type1,Thursday
cash-in,24041,21197,3224.13,5/20/2019 10:43,1,type1,Monday
cash-in,24041,92217,3224.14,4/8/2019 8:26,1,type1,Monday
cash-in,24041,39661,3224.14,5/23/2019 9:37,1,type1,Thursday
cash-in,24041,56984,3224.14,3/20/2019 8:02,1,type1,Wednesday
cash-in,24041,9570,3224.14,3/10/2019 11:16,1,type1,Sunday
cash-in,24041,49937,3224.14,4/11/2019 9:23,1,type1,Thursday
cash-in,82410,59581,7138.08,5/25/2019 11:41,1,type1,Saturday
cash-in,82410,21955,7138.09,3/5/2019 11:52,1,type1,Tuesday
cash-in,82410,15915,7138.09,6/17/2019 11:46,1,type1,Monday
cash-in,82410,94012,7138.09,7/5/2019 12:23,1,type1,Friday
cash-in,82410,25362,7138.09,6/10/2019 10:57,1,type1,Monday
cash-in,82410,27412,7138.09,4/15/2019 15:30,1,type1,Monday
cash-in,82410,79849,7138.09,4/20/2019 13:09,1,type1,Saturday
cash-in,82410,26063,7138.09,5/5/2019 8:32,1,type1,Sunday
cash-in,82410,77984,7138.09,5/4/2019 10:08,1,type1,Saturday
cash-in,82410,41940,7138.09,2/27/2019 14:20,1,type1,Wednesday
cash-in,82410,88645,7138.09,3/18/2019 10:03,1,type1,Monday
cash-in,82410,87881,7138.09,2/23/2019 14:43,1,type1,Saturday
cash-in,24441,12242,29541.86,7/15/2019 14:39,1,type1,Monday
cash-in,24441,23236,29541.86,3/31/2019 9:19,1,type1,Sunday
cash-in,24441,94201,29541.86,4/20/2019 15:25,1,type1,Saturday
cash-in,43439,91672,5028.28,5/12/2019 8:49,1,type1,Sunday
cash-in,43439,36605,5028.28,7/5/2019 13:05,1,type1,Friday
cash-in,43439,82179,5028.28,3/13/2019 13:56,1,type1,Wednesday
cash-in,43439,12117,5028.28,7/5/2019 15:19,1,type1,Friday
cash-in,43439,53631,5028.28,6/17/2019 13:58,1,type1,Monday
cash-in,43439,48679,5028.28,7/6/2019 14:15,1,type1,Saturday
cash-in,43439,13115,5028.28,2/27/2019 8:18,1,type1,Wednesday
cash-in,43439,63955,5028.28,3/14/2019 8:13,1,type1,Thursday
cash-in,43439,16638,5028.28,4/2/2019 8:35,1,type1,Tuesday
cash-in,43439,46827,5028.28,5/20/2019 11:02,1,type1,Monday
cash-in,43439,46060,5028.28,6/16/2019 11:05,1,type1,Sunday
cash-in,43439,60266,5028.28,3/11/2019 10:29,1,type1,Monday
cash-in,43439,5029,5028.28,3/5/2019 9:32,1,type1,Tuesday
cash-in,43439,62290,5028.28,7/13/2019 10:57,1,type1,Saturday
cash-in,43439,89414,5028.28,4/8/2019 15:25,1,type1,Monday
cash-in,43439,94137,5028.28,4/4/2019 15:36,1,type1,Thursday
cash-in,43439,58551,5028.28,3/28/2019 11:29,1,type1,Thursday
cash-in,43439,71167,5028.28,7/20/2019 8:52,1,type1,Saturday
cash-in,69208,42692,3723.21,7/5/2019 14:17,1,type1,Friday
cash-in,69208,54010,3723.21,6/12/2019 8:40,1,type1,Wednesday
cash-in,69208,44409,3723.21,3/21/2019 11:36,1,type1,Thursday
cash-in,69208,94632,3723.21,4/28/2019 15:59,1,type1,Sunday
cash-in,69208,51747,3723.21,4/20/2019 9:29,1,type1,Saturday
cash-in,69208,21453,3723.21,7/2/2019 12:59,1,type1,Tuesday
cash-in,69208,42627,3723.21,4/1/2019 8:20,1,type1,Monday
cash-in,69208,97637,3723.21,3/3/2019 9:51,1,type1,Sunday
cash-in,69208,66062,3723.21,3/15/2019 9:08,1,type1,Friday
cash-in,69208,71259,3723.21,5/2/2019 11:48,1,type1,Thursday
cash-in,69208,55007,3723.21,3/11/2019 12:28,1,type1,Monday
cash-in,69208,62050,3723.21,7/2/2019 9:01,1,type1,Tuesday
cash-in,69208,23494,3723.21,2/21/2019 15:02,1,type1,Thursday
cash-in,69208,38720,3723.21,5/30/2019 8:05,1,type1,Thursday
cash-in,69208,24349,3723.21,4/14/2019 15:30,1,type1,Sunday
cash-in,69208,7654,3723.21,6/3/2019 11:52,1,type1,Monday
cash-in,69208,85699,3723.21,7/20/2019 9:32,1,type1,Saturday
cash-in,69208,98036,3723.21,3/13/2019 9:26,1,type1,Wednesday
cash-in,69208,32455,3723.21,2/26/2019 13:00,1,type1,Tuesday
cash-in,69208,91032,3723.21,6/28/2019 11:23,1,type1,Friday
cash-in,69208,6897,3723.21,5/11/2019 8:11,1,type1,Saturday
cash-in,69208,51077,3723.21,6/12/2019 13:48,1,type1,Wednesday
cash-in,69208,13633,3723.21,7/5/2019 10:44,1,type1,Friday
cash-in,69208,48273,3723.22,6/16/2019 8:31,1,type1,Sunday
cash-in,71475,10234,10022.26,3/9/2019 14:44,1,type1,Saturday
cash-in,71475,75572,10022.26,4/26/2019 8:32,1,type1,Friday
cash-in,71475,50788,10022.26,4/4/2019 14:20,1,type1,Thursday
cash-in,71475,8847,10022.26,5/3/2019 11:51,1,type1,Friday
cash-in,71475,34483,10022.27,5/15/2019 13:29,1,type1,Wednesday
cash-in,71475,72492,10022.27,2/22/2019 15:30,1,type1,Friday
cash-in,71475,54332,10022.27,4/29/2019 8:22,1,type1,Monday
cash-in,75076,30252,4200.44,3/28/2019 12:37,1,type1,Thursday
cash-in,75076,50080,4200.44,5/2/2019 14:27,1,type1,Thursday
cash-in,75076,98057,4200.44,7/11/2019 9:29,1,type1,Thursday
cash-in,75076,30180,4200.44,7/17/2019 15:43,1,type1,Wednesday
cash-in,75076,92527,4200.44,3/25/2019 10:47,1,type1,Monday
