Type of Transaction,Sender ID,Receiver ID,Amount of Money Transferred,Date,Is Fraud,Type of Fraud
cash-in,39284,13963,274171,3/6/2019 15:23,1,type1
cash-in,39284,29925,274171,7/10/2019 10:07,1,type1
cash-in,39284,61097,274172,3/4/2019 12:59,1,type1
cash-in,39284,13638,274172,6/1/2019 12:21,1,type1
cash-in,82688,77924,292038,5/31/2019 11:17,1,type1
cash-in,82688,91706,292038,2/27/2019 14:21,1,type1
cash-in,82688,87880,292038,3/31/2019 13:40,1,type1
cash-in,82688,18305,292038,5/31/2019 11:10,1,type1
cash-in,82688,74062,292038,5/5/2019 8:47,1,type1
cash-in,82688,83006,292038,5/23/2019 9:58,1,type1
cash-in,82688,39778,292038,5/30/2019 14:01,1,type1
cash-in,82688,32368,292038,4/20/2019 11:43,1,type1
cash-in,82688,12943,292038,3/12/2019 11:23,1,type1
cash-in,82688,67262,292038,4/13/2019 9:31,1,type1
cash-in,82688,48186,292038,6/5/2019 13:29,1,type1
cash-in,82688,6015,292038,6/30/2019 14:10,1,type1
cash-in,82688,34921,292038,4/11/2019 12:49,1,type1
cash-in,82688,28976,292038,4/29/2019 8:30,1,type1
cash-in,82688,16779,292038,6/9/2019 11:07,1,type1
cash-in,82688,88240,292038,2/28/2019 9:05,1,type1
cash-in,82688,4870,292038,4/9/2019 15:22,1,type1
cash-in,82688,32981,292038,7/14/2019 14:36,1,type1
cash-in,82688,75676,292038,3/29/2019 8:30,1,type1
cash-in,82688,69388,292038,4/8/2019 12:36,1,type1
cash-in,82688,97318,292038,4/11/2019 11:33,1,type1
cash-in,82688,42411,292039,4/4/2019 10:15,1,type1
cash-in,82688,13222,292039,6/8/2019 8:56,1,type1
cash-in,82688,99496,292039,4/30/2019 14:52,1,type1
cash-in,82688,1932,292039,3/25/2019 13:28,1,type1
cash-in,30965,80135,398394,3/27/2019 11:40,1,type1
cash-in,30965,88488,398394,6/6/2019 9:03,1,type1
cash-in,30965,57075,398394,6/15/2019 11:46,1,type1
cash-in,30965,40167,398394,3/26/2019 11:36,1,type1
cash-in,30965,24981,398394,2/24/2019 13:54,1,type1
cash-in,30965,57149,398394,6/1/2019 10:16,1,type1
cash-in,30965,14030,398394,5/28/2019 14:26,1,type1
cash-in,30965,45553,398394,6/18/2019 11:01,1,type1
cash-in,30965,80750,398394,5/9/2019 11:35,1,type1
cash-in,30965,49600,398394,5/26/2019 12:00,1,type1
cash-in,30965,93262,398394,4/6/2019 11:52,1,type1
cash-in,30965,25307,398394,4/14/2019 12:31,1,type1
cash-in,30965,63112,398394,4/23/2019 12:41,1,type1
cash-in,30965,14080,398394,4/19/2019 13:14,1,type1
cash-in,30965,95733,398394,6/2/2019 12:03,1,type1
cash-in,30965,63228,398394,5/1/2019 14:14,1,type1
cash-in,30965,4845,398394,7/7/2019 8:14,1,type1
cash-in,30965,45785,398395,7/2/2019 9:50,1,type1
cash-in,30965,74470,398395,7/5/2019 10:15,1,type1
cash-in,30965,32822,398395,6/20/2019 13:29,1,type1
cash-in,30965,23309,398395,3/10/2019 15:42,1,type1
cash-in,72032,68884,391866,6/16/2019 13:47,1,type1
cash-in,72032,35234,391866,4/30/2019 10:05,1,type1
cash-in,72032,44712,391866,5/1/2019 8:56,1,type1
cash-in,72032,21863,391867,6/12/2019 14:25,1,type1
cash-in,72032,30284,391867,4/14/2019 12:17,1,type1
cash-in,72032,68776,391867,4/20/2019 10:38,1,type1
cash-in,72032,77528,391867,6/19/2019 15:56,1,type1
cash-in,72032,13268,391867,7/20/2019 13:12,1,type1
cash-in,72032,12595,391867,4/7/2019 11:56,1,type1
cash-in,72032,27847,391867,6/11/2019 9:38,1,type1
cash-in,72032,15477,391867,3/23/2019 10:22,1,type1
cash-in,72032,57885,391867,2/23/2019 9:56,1,type1
cash-in,72032,76683,391867,2/24/2019 10:40,1,type1
cash-in,72032,45427,391867,3/5/2019 13:32,1,type1
cash-in,72032,92818,391867,2/22/2019 11:21,1,type1
cash-in,72032,49478,391867,6/13/2019 14:46,1,type1
cash-in,72032,67354,391867,5/13/2019 15:16,1,type1
cash-in,72032,44038,391867,3/20/2019 8:23,1,type1
cash-in,72032,31247,391867,5/18/2019 15:35,1,type1
cash-in,72032,82095,391867,6/25/2019 10:49,1,type1
cash-in,72032,63396,391867,5/8/2019 9:22,1,type1
cash-in,24041,96977,322413,3/3/2019 12:37,1,type1
cash-in,24041,33426,322413,4/2/2019 8:53,1,type1
cash-in,24041,46541,322413,7/10/2019 13:44,1,type1
cash-in,24041,23893,322413,4/28/2019 13:26,1,type1
cash-in,24041,86853,322413,4/5/2019 12:11,1,type1
cash-in,24041,45493,322413,2/25/2019 8:14,1,type1
cash-in,24041,33601,322413,3/9/2019 11:02,1,type1
cash-in,24041,16524,322413,4/30/2019 8:56,1,type1
cash-in,24041,56913,322413,4/21/2019 8:02,1,type1
cash-in,24041,36891,322413,4/4/2019 10:36,1,type1
cash-in,24041,18626,322413,6/16/2019 12:39,1,type1
cash-in,24041,1666,322413,4/18/2019 9:55,1,type1
cash-in,24041,34756,322413,6/25/2019 11:31,1,type1
cash-in,24041,66669,322413,3/30/2019 10:14,1,type1
cash-in,24041,55422,322413,7/13/2019 8:32,1,type1
cash-in,24041,39060,322413,2/26/2019 14:51,1,type1
cash-in,24041,88176,322413,6/6/2019 10:39,1,type1
cash-in,24041,21197,322413,5/20/2019 10:43,1,type1
cash-in,24041,92217,322414,4/8/2019 8:26,1,type1
cash-in,24041,39661,322414,5/23/2019 9:37,1,type1
cash-in,24041,56984,322414,3/20/2019 8:02,1,type1
cash-in,24041,9570,322414,3/10/2019 11:16,1,type1
cash-in,24041,49937,322414,4/11/2019 9:23,1,type1
cash-in,82410,59581,713808,5/25/2019 11:41,1,type1
cash-in,82410,21955,713809,3/5/2019 11:52,1,type1
cash-in,82410,15915,713809,6/17/2019 11:46,1,type1
cash-in,82410,94012,713809,7/5/2019 12:23,1,type1
cash-in,82410,25362,713809,6/10/2019 10:57,1,type1
cash-in,82410,27412,713809,4/15/2019 15:30,1,type1
cash-in,82410,79849,713809,4/20/2019 13:09,1,type1
cash-in,82410,26063,713809,5/5/2019 8:32,1,type1
cash-in,82410,77984,713809,5/4/2019 10:08,1,type1
cash-in,82410,41940,713809,2/27/2019 14:20,1,type1
cash-in,82410,88645,713809,3/18/2019 10:03,1,type1
cash-in,82410,87881,713809,2/23/2019 14:43,1,type1
cash-in,24441,12242,2954186,7/15/2019 14:39,1,type1
cash-in,24441,23236,2954186,3/31/2019 9:19,1,type1
cash-in,24441,94201,2954186,4/20/2019 15:25,1,type1
cash-in,43439,91672,502828,5/12/2019 8:49,1,type1
cash-in,43439,36605,502828,7/5/2019 13:05,1,type1
cash-in,43439,82179,502828,3/13/2019 13:56,1,type1
cash-in,43439,12117,502828,7/5/2019 15:19,1,type1
cash-in,43439,53631,502828,6/17/2019 13:58,1,type1
cash-in,43439,48679,502828,7/6/2019 14:15,1,type1
cash-in,43439,13115,502828,2/27/2019 8:18,1,type1
cash-in,43439,63955,502828,3/14/2019 8:13,1,type1
cash-in,43439,16638,502828,4/2/2019 8:35,1,type1
cash-in,43439,46827,502828,5/20/2019 11:02,1,type1
cash-in,43439,46060,502828,6/16/2019 11:05,1,type1
cash-in,43439,60266,502828,3/11/2019 10:29,1,type1
cash-in,43439,5029,502828,3/5/2019 9:32,1,type1
cash-in,43439,62290,502828,7/13/2019 10:57,1,type1
cash-in,43439,89414,502828,4/8/2019 15:25,1,type1
cash-in,43439,94137,502828,4/4/2019 15:36,1,type1
cash-in,43439,58551,502828,3/28/2019 11:29,1,type1
cash-in,43439,71167,502828,7/20/2019 8:52,1,type1
cash-in,69208,42692,372321,7/5/2019 14:17,1,type1
cash-in,69208,54010,372321,6/12/2019 8:40,1,type1
cash-in,69208,44409,372321,3/21/2019 11:36,1,type1
cash-in,69208,94632,372321,4/28/2019 15:59,1,type1
cash-in,69208,51747,372321,4/20/2019 9:29,1,type1
cash-in,69208,21453,372321,7/2/2019 12:59,1,type1
cash-in,69208,42627,372321,4/1/2019 8:20,1,type1
cash-in,69208,97637,372321,3/3/2019 9:51,1,type1
cash-in,69208,66062,372321,3/15/2019 9:08,1,type1
cash-in,69208,71259,372321,5/2/2019 11:48,1,type1
cash-in,69208,55007,372321,3/11/2019 12:28,1,type1
cash-in,69208,62050,372321,7/2/2019 9:01,1,type1
cash-in,69208,23494,372321,2/21/2019 15:02,1,type1
cash-in,69208,38720,372321,5/30/2019 8:05,1,type1
cash-in,69208,24349,372321,4/14/2019 15:30,1,type1
cash-in,69208,7654,372321,6/3/2019 11:52,1,type1
cash-in,69208,85699,372321,7/20/2019 9:32,1,type1
cash-in,69208,98036,372321,3/13/2019 9:26,1,type1
cash-in,69208,32455,372321,2/26/2019 13:00,1,type1
cash-in,69208,91032,372321,6/28/2019 11:23,1,type1
cash-in,69208,6897,372321,5/11/2019 8:11,1,type1
cash-in,69208,51077,372321,6/12/2019 13:48,1,type1
cash-in,69208,13633,372321,7/5/2019 10:44,1,type1
cash-in,69208,48273,372322,6/16/2019 8:31,1,type1
cash-in,71475,10234,1002226,3/9/2019 14:44,1,type1
cash-in,71475,75572,1002226,4/26/2019 8:32,1,type1
cash-in,71475,50788,1002226,4/4/2019 14:20,1,type1
cash-in,71475,8847,1002226,5/3/2019 11:51,1,type1
cash-in,71475,34483,1002227,5/15/2019 13:29,1,type1
cash-in,71475,72492,1002227,2/22/2019 15:30,1,type1
cash-in,71475,54332,1002227,4/29/2019 8:22,1,type1
cash-in,75076,30252,420044,3/28/2019 12:37,1,type1
cash-in,75076,50080,420044,5/2/2019 14:27,1,type1
cash-in,75076,98057,420044,7/11/2019 9:29,1,type1
cash-in,75076,30180,420044,7/17/2019 15:43,1,type1
cash-in,75076,92527,420044,3/25/2019 10:47,1,type1
cash-in,75076,24618,420044,7/9/2019 13:48,1,type1
cash-in,75076,6644,420044,6/9/2019 11:51,1,type1
cash-in,75076,24841,420044,7/16/2019 10:33,1,type1
cash-in,75076,20067,420044,4/13/2019 14:49,1,type1
cash-in,75076,6646,420044,5/20/2019 15:04,1,type1
cash-in,75076,90581,420044,5/18/2019 14:48,1,type1
cash-in,75076,50112,420044,5/23/2019 8:02,1,type1
cash-in,75076,75668,420044,5/12/2019 12:47,1,type1
cash-in,75076,66439,420044,4/18/2019 14:58,1,type1
cash-in,75076,16595,420044,7/6/2019 8:43,1,type1
cash-in,75076,71373,420045,3/19/2019 8:35,1,type1
cash-in,75076,49051,420045,4/30/2019 10:53,1,type1
cash-in,75076,34544,420045,2/21/2019 8:23,1,type1
cash-in,75076,1512,420045,7/7/2019 15:39,1,type1
cash-in,82930,82726,779884,4/1/2019 12:23,1,type1
cash-in,82930,72794,779884,3/22/2019 14:42,1,type1
cash-in,82930,43090,779884,5/16/2019 12:35,1,type1
cash-in,82930,16422,779884,5/15/2019 15:58,1,type1
cash-in,82930,85116,779884,4/8/2019 12:03,1,type1
cash-in,82930,83961,779884,3/26/2019 13:41,1,type1
cash-in,82930,29156,779884,3/5/2019 10:46,1,type1
cash-in,82930,89577,779884,7/12/2019 10:17,1,type1
cash-in,82930,45031,779884,3/12/2019 8:45,1,type1
cash-in,82930,67096,779885,6/23/2019 12:50,1,type1
cash-in,13919,53522,323248,7/13/2019 15:41,1,type1
cash-in,13919,61430,323248,7/1/2019 12:48,1,type1
cash-in,13919,33512,323248,7/5/2019 13:33,1,type1
cash-in,13919,45513,323248,5/18/2019 14:37,1,type1
cash-in,13919,90767,323248,4/28/2019 8:49,1,type1
cash-in,13919,11846,323248,4/6/2019 8:44,1,type1
cash-in,13919,25667,323248,7/14/2019 9:30,1,type1
cash-in,13919,27636,323248,5/3/2019 8:56,1,type1
cash-in,13919,63975,323248,5/25/2019 10:16,1,type1
cash-in,13919,50139,323248,5/22/2019 8:25,1,type1
cash-in,13919,86945,323248,3/24/2019 12:32,1,type1
cash-in,13919,87092,323248,4/16/2019 14:33,1,type1
cash-in,13919,68015,323248,3/27/2019 12:41,1,type1
cash-in,13919,79614,323248,4/9/2019 15:24,1,type1
cash-in,13919,31440,323248,5/14/2019 8:03,1,type1
cash-in,13919,57534,323248,4/28/2019 14:12,1,type1
cash-in,13919,26472,323248,2/24/2019 12:33,1,type1
cash-in,13919,6984,323248,4/4/2019 9:07,1,type1
cash-in,13919,33911,323248,5/3/2019 9:20,1,type1
cash-in,13919,44716,323248,3/16/2019 15:52,1,type1
cash-in,13919,57919,323248,4/29/2019 10:50,1,type1
cash-in,13919,95350,323248,5/23/2019 13:39,1,type1
cash-in,13919,95241,323248,4/25/2019 13:29,1,type1
cash-in,13919,59719,323249,7/5/2019 8:52,1,type1
transfer,42454,32893,7270189,2/25/2019 11:50,1,type2
transfer,32893,30530,7270189,3/12/2019 11:43,1,type2
transfer,30530,36647,7270189,3/17/2019 10:25,1,type2
transfer,36647,64269,7270189,5/29/2019 10:06,1,type2
transfer,64269,48051,7270189,5/31/2019 9:00,1,type2
transfer,48051,1970,7270189,7/16/2019 12:45,1,type2
transfer,44881,76348,5983503,3/6/2019 14:51,1,type2
transfer,76348,96871,5983503,3/21/2019 13:42,1,type2
transfer,96871,70897,5983503,4/10/2019 12:57,1,type2
transfer,70897,98417,5983503,4/16/2019 13:05,1,type2
transfer,98417,77678,5983503,4/25/2019 15:30,1,type2
transfer,77678,98047,5983503,5/26/2019 15:13,1,type2
transfer,98047,60563,5983503,6/5/2019 8:27,1,type2
transfer,60563,414,5983503,7/15/2019 11:12,1,type2
transfer,414,84965,5983503,7/19/2019 15:36,1,type2
transfer,58314,96855,6944610,2/26/2019 15:23,1,type2
transfer,96855,92885,6944610,2/27/2019 14:59,1,type2
transfer,92885,85539,6944610,3/6/2019 10:23,1,type2
transfer,85539,74228,6944610,3/26/2019 11:38,1,type2
transfer,74228,35778,6944610,4/2/2019 14:36,1,type2
transfer,35778,66713,6944610,4/8/2019 14:16,1,type2
transfer,66713,8567,6944610,4/12/2019 13:13,1,type2
transfer,8567,87555,6944610,4/19/2019 8:32,1,type2
transfer,87555,91021,6944610,4/19/2019 10:40,1,type2
transfer,91021,59712,6944610,4/21/2019 11:27,1,type2
transfer,59712,33274,6944610,4/23/2019 15:22,1,type2
transfer,33274,95242,6944610,5/7/2019 9:37,1,type2
transfer,95242,70731,6944610,5/9/2019 15:17,1,type2
transfer,70731,41780,6944610,5/10/2019 11:49,1,type2
transfer,41780,35225,6944610,5/15/2019 12:07,1,type2
transfer,35225,47114,6944610,5/21/2019 11:51,1,type2
transfer,47114,13272,6944610,5/25/2019 10:01,1,type2
transfer,13272,5645,6944610,5/31/2019 8:52,1,type2
transfer,5645,70436,6944610,6/5/2019 10:40,1,type2
transfer,70436,2802,6944610,6/5/2019 15:30,1,type2
transfer,2802,87433,6944610,6/13/2019 13:45,1,type2
transfer,87433,90992,6944610,6/28/2019 15:42,1,type2
transfer,90992,4943,6944610,7/5/2019 12:15,1,type2
transfer,83481,18652,7259213,2/24/2019 12:54,1,type2
